
SENSOR_ID,DATE / TIME,C02 EMISSION (ppm),CHANGE IN %,ACTIONS_TAKEN
lw-ms-air-qual-01,2024-03-27T07:26:14.990554Z,410,-0.24%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T07:33:57.320576Z,412,0.49%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T07:35:56.981Z,406,-1.46%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T07:43:57.324544Z,410,0.99%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T07:45:56.980Z,401,-2.20%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T07:53:57.332498Z,412,2.74%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T07:56:14.975323Z,406,-1.46%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T08:03:57.333504Z,409,0.74%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T08:06:14.960869Z,404,-1.22%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T08:13:57.342474Z,410,1.49%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T08:16:14.965475Z,403,-1.71%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T08:23:57.347399Z,406,0.74%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T08:25:56.960Z,402,-0.99%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T08:33:57.350372Z,411,2.24%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T08:36:14.948649Z,404,-1.70%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T08:43:57.355359Z,405,0.25%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T08:46:14.948241Z,402,-0.74%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T08:53:57.362334Z,412,2.49%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T08:56:14.939966Z,413,0.24%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T09:03:57.363286Z,432,4.60%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T09:06:14.942469Z,423,-2.08%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T09:13:57.375327Z,766,81.09%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T09:16:14.932075Z,418,-45.43%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T09:23:57.380450Z,928,122.01%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T09:26:14.925577Z,419,-54.85%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T09:33:57.377381Z,1102,163.01%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T09:36:14.925167Z,425,-61.43%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T09:43:57.387398Z,1253,194.82%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T09:46:14.918851Z,422,-66.32%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T09:53:57.391375Z,1217,188.39%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T09:55:56.917Z,438,-64.01%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T10:03:57.390431Z,1316,200.46%,No Action. Normal Health
