SESNSOR ID,DATE TIME,TEMPERATURE
lw-ms-air-qual-01,2024-03-27T04:06:15.081648Z,13
lw-ms-air-qual-02,2024-03-27T04:13:57.226283Z,12
lw-ms-air-qual-01,2024-03-27T04:16:15.081274Z,13
lw-ms-air-qual-02,2024-03-27T04:23:39.232Z,14
lw-ms-air-qual-01,2024-03-27T04:26:15.080831Z,13
lw-ms-air-qual-02,2024-03-27T04:33:57.236184Z,14
lw-ms-air-qual-01,2024-03-27T04:35:57.076Z,13
lw-ms-air-qual-02,2024-03-27T04:43:57.248169Z,12
lw-ms-air-qual-01,2024-03-27T04:46:15.063144Z,12
lw-ms-air-qual-02,2024-03-27T04:53:57.250198Z,15
lw-ms-air-qual-01,2024-03-27T04:56:15.060601Z,12
lw-ms-air-qual-02,2024-03-27T05:03:57.255071Z,14
lw-ms-air-qual-01,2024-03-27T05:06:15.054367Z,15
lw-ms-air-qual-02,2024-03-27T05:13:57.261037Z,14
lw-ms-air-qual-01,2024-03-27T05:16:15.048894Z,15
lw-ms-air-qual-02,2024-03-27T05:23:57.266019Z,13
lw-ms-air-qual-01,2024-03-27T05:26:15.042443Z,13
lw-ms-air-qual-02,2024-03-27T05:33:57.268001Z,15
lw-ms-air-qual-01,2024-03-27T05:36:15.045040Z,13
lw-ms-air-qual-02,2024-03-27T05:43:57.266960Z,12
lw-ms-air-qual-01,2024-03-27T05:46:15.035689Z,13
lw-ms-air-qual-02,2024-03-27T05:53:57.273931Z,15
lw-ms-air-qual-01,2024-03-27T05:56:15.037497Z,15
lw-ms-air-qual-02,2024-03-27T06:03:57.280903Z,15
lw-ms-air-qual-01,2024-03-27T06:05:57.030Z,12
lw-ms-air-qual-02,2024-03-27T06:13:57.284880Z,15
lw-ms-air-qual-01,2024-03-27T06:16:15.022461Z,14
lw-ms-air-qual-02,2024-03-27T06:23:57.287885Z,13
lw-ms-air-qual-01,2024-03-27T06:25:57.018Z,15
lw-ms-air-qual-02,2024-03-27T06:33:57.292803Z,14
lw-ms-air-qual-01,2024-03-27T06:36:15.011617Z,13
lw-ms-air-qual-02,2024-03-27T06:43:57.294765Z,22
lw-ms-air-qual-01,2024-03-27T06:46:15.014266Z,25
lw-ms-air-qual-02,2024-03-27T06:53:57.304690Z,18
lw-ms-air-qual-01,2024-03-27T06:55:56.998Z,21
lw-ms-air-qual-02,2024-03-27T07:03:57.312681Z,26
lw-ms-air-qual-01,2024-03-27T07:06:14.998385Z,16
lw-ms-air-qual-02,2024-03-27T07:13:57.317648Z,28
lw-ms-air-qual-01,2024-03-27T07:15:56.992Z,29
lw-ms-air-qual-02,2024-03-27T07:23:57.320608Z,20
lw-ms-air-qual-01,2024-03-27T07:26:14.990554Z,27
lw-ms-air-qual-02,2024-03-27T07:33:57.320576Z,29
lw-ms-air-qual-01,2024-03-27T07:35:56.981Z,28
lw-ms-air-qual-02,2024-03-27T07:43:57.324544Z,19
lw-ms-air-qual-01,2024-03-27T07:45:56.980Z,18
lw-ms-air-qual-02,2024-03-27T07:53:57.332498Z,28
lw-ms-air-qual-01,2024-03-27T07:56:14.975323Z,17
lw-ms-air-qual-02,2024-03-27T08:03:57.333504Z,22
lw-ms-air-qual-01,2024-03-27T08:06:14.960869Z,20
lw-ms-air-qual-02,2024-03-27T08:13:57.342474Z,23
lw-ms-air-qual-01,2024-03-27T08:16:14.965475Z,23
lw-ms-air-qual-02,2024-03-27T08:23:57.347399Z,28
lw-ms-air-qual-01,2024-03-27T08:25:56.960Z,25
lw-ms-air-qual-02,2024-03-27T08:33:57.350372Z,25
lw-ms-air-qual-01,2024-03-27T08:36:14.948649Z,23
lw-ms-air-qual-02,2024-03-27T08:43:57.355359Z,23
lw-ms-air-qual-01,2024-03-27T08:46:14.948241Z,29
lw-ms-air-qual-02,2024-03-27T08:53:57.362334Z,16
lw-ms-air-qual-01,2024-03-27T08:56:14.939966Z,19
lw-ms-air-qual-02,2024-03-27T09:03:57.363286Z,19
lw-ms-air-qual-01,2024-03-27T09:06:14.942469Z,21
lw-ms-air-qual-02,2024-03-27T09:13:57.375327Z,27
lw-ms-air-qual-01,2024-03-27T09:16:14.932075Z,25
lw-ms-air-qual-02,2024-03-27T09:23:57.380450Z,15
lw-ms-air-qual-01,2024-03-27T09:26:14.925577Z,20
lw-ms-air-qual-02,2024-03-27T09:33:57.377381Z,15
lw-ms-air-qual-01,2024-03-27T09:36:14.925167Z,14
lw-ms-air-qual-02,2024-03-27T09:43:57.387398Z,28
lw-ms-air-qual-01,2024-03-27T09:46:14.918851Z,21
lw-ms-air-qual-02,2024-03-27T09:53:57.391375Z,19
lw-ms-air-qual-01,2024-03-27T09:55:56.917Z,19
lw-ms-air-qual-02,2024-03-27T10:03:57.390431Z,16
