
DATE / TIME,LOCATION,AMBIENT TEMPERATURE,TEMPERATURE RANGE
2024-08-13 12:41:59,Bathroom,15.00,Low Temperature
2024-08-13 12:42:10,Living Room,13.00,Low Temperature
2024-08-13 12:42:17,Passage,12.00,Low Temperature
2024-08-13 12:42:22,Toilet,13.00,Low Temperature
2024-08-13 12:42:31,Bathroom,15.00,Low Temperature
2024-08-13 12:42:38,Passage,15.00,Low Temperature
2024-08-13 12:42:48,Kitchen,15.00,Low Temperature
2024-08-13 12:42:58,Office,12.00,Low Temperature
2024-08-13 12:43:06,Living Room,15.00,Low Temperature
2024-08-13 12:43:14,Passage,14.00,Low Temperature
2024-08-13 12:43:22,Office,13.00,Low Temperature
2024-08-13 12:43:31,Bathroom,15.00,Low Temperature
2024-08-13 12:43:41,Passage,14.00,Low Temperature
2024-08-13 12:43:52,Bedroom,13.00,Low Temperature
2024-08-13 12:44:01,Bedroom,22.00,Temperature within specified range
2024-08-13 12:44:03,Staircase,25.00,Temperature within specified range
2024-08-13 12:44:05,Bedroom,18.00,Temperature within specified range
2024-08-13 12:44:07,Toilet,21.00,Temperature within specified range
2024-08-13 12:44:09,Living Room,26.00,High Temperature
2024-08-13 12:44:16,Office,16.00,Low Temperature
2024-08-13 12:44:27,Kitchen,28.00,High Temperature
2024-08-13 12:44:34,Bedroom,29.00,High Temperature
2024-08-13 12:44:45,Passage,20.00,Temperature within specified range
2024-08-13 12:44:47,Living Room,27.00,High Temperature
2024-08-13 12:44:57,Office,29.00,High Temperature
2024-08-13 12:45:02,Toilet,28.00,High Temperature
2024-08-13 12:45:12,Staircase,19.00,Temperature within specified range
2024-08-13 12:45:14,Passage,18.00,Temperature within specified range
2024-08-13 12:45:16,Office,28.00,High Temperature
2024-08-13 12:45:25,Bathroom,17.00,Temperature within specified range
2024-08-13 12:45:27,Bedroom,22.00,Temperature within specified range
2024-08-13 12:45:29,Office,20.00,Temperature within specified range
2024-08-13 12:45:31,Toilet,23.00,Temperature within specified range
2024-08-13 12:45:33,Living Room,23.00,Temperature within specified range
2024-08-13 12:45:35,Office,28.00,High Temperature
2024-08-13 12:45:42,Toilet,25.00,Temperature within specified range
2024-08-13 12:45:44,Passage,25.00,Temperature within specified range
2024-08-13 12:45:46,Toilet,23.00,Temperature within specified range
2024-08-13 12:45:48,Bathroom,23.00,Temperature within specified range
2024-08-13 12:45:50,Toilet,29.00,High Temperature
2024-08-13 12:46:00,Toilet,16.00,Low Temperature
2024-08-13 12:46:05,Toilet,19.00,Temperature within specified range
2024-08-13 12:46:07,Living Room,19.00,Temperature within specified range
2024-08-13 12:46:09,Kitchen,21.00,Temperature within specified range
2024-08-13 12:46:11,Bathroom,27.00,High Temperature
2024-08-13 12:46:20,Office,25.00,Temperature within specified range
2024-08-13 12:46:22,Bathroom,15.00,Low Temperature
2024-08-13 12:46:33,Kitchen,20.00,Temperature within specified range
2024-08-13 12:46:35,Bedroom,15.00,Low Temperature
2024-08-13 12:46:42,Bathroom,14.00,Low Temperature
2024-08-13 12:46:52,Kitchen,28.00,High Temperature
2024-08-13 12:46:58,Office,21.00,Temperature within specified range
2024-08-13 12:47:00,Bathroom,19.00,Temperature within specified range
2024-08-13 12:47:02,Staircase,19.00,Temperature within specified range
2024-08-13 12:47:04,Passage,16.00,Low Temperature
